databaseId	name	imageUrl	cardBack	type	packName	deckbuilderQuantity	setUuid	numberInPack	faction	cardsubtype	cost	destiny	supportcost	energy	power	tactics	defense	text	lore
54e807f5-373c-4b2b-8ab3-a642da4d165e	Advanced Research	https://warstcg.org//img/1/WARS-EN01001.jpg	normal	ASSET	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1U1	Earther	ASSET (Character Infiltrator)	1	5	2 Earther					This character is power +2 and tactics +2.	The results of the work done by XeLabs scientists are quickly translated into practical tools for Earther assets.
6a8deda3-f571-47b4-8a85-d6890d32c3e4	Anticipation	https://warstcg.org//img/1/WARS-EN01002.jpg	normal	INTERRUPT	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1C2	Earther	INTERRUPT (Used)	0	4	2 Earther					Make target kizen defense +3 until end of turn for each of your locations that has “Earth” in its title.	"Kizen power is characterized by enhanced awareness. At times, this manifests itself in subtle premonitions."
c9b5b405-d606-4a24-b745-1e3629e50dcc	Armor Penetrating	https://warstcg.org//img/1/WARS-EN01003.jpg	normal	INTERRUPT	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1U3	Earther	INTERRUPT (Lost)	0	2	2 Earther					"The next time an ability of one of your weapons damages a unit this turn, damage up to two target units at that weapon’s location."	"FedGrav manufactured weaponry far exceeds expectations, having the potential to pierce multiple targets at once."
3402ee12-9b11-4c13-86c0-3621cfa5441d	Assault Guru	https://warstcg.org//img/1/WARS-EN01004.jpg	normal	CHARACTER	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1C4	Earther	CHARACTER • CISyn • Tech • Unit	2	4	1 Earther		1	1	3	"As long as this character is at a site where you have a higher total tactics than your opponent, you cause attrition +2 here."	Sana Camrik is an assault guru for CISyn. She received her promotion for her valor during the Battle of Phobos.
83f1c500-d896-4731-ac56-d0574dd65617	?Atlantis	https://warstcg.org//img/1/WARS-EN01005.jpg	normal	SHIP	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1R5	Earther	SHIP (Capacity 3) • iCom • Capital	6	4	3 Earther		6	2	10	Your total power is +2 in each battle at a related site.	Horatio Hicks’ battleship is as legendary as the continent for which it was named.
a2c3d9f2-2a28-4a41-b6e8-291c4fc25ae4	Blockade	https://warstcg.org//img/1/WARS-EN01006.jpg	normal	ASSET	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1U6	Earther	ASSET (Site)	3	2	3 Earther					You may play this asset beneath one of your opponent’s sites. Each unit your opponent plays here costs 1 more energy to play for each ship you have at each related sector.	“In a couple weeks they’ll be eating rats.” – Horatio Hicks
ef859f36-1013-48dd-9ec0-d6e63596fcf2	CGC Grunt	https://warstcg.org//img/1/WARS-EN01007.jpg	normal	CHARACTER	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1C7	Earther	CHARACTER • CGC • Warrior • Unit	1	4	1 Earther		1	1	1	"As long as at least one of your units here has higher tactics than any of your opponent's units here, this character is power +2 and defense +2."	Dedication to one’s cause – and the willingness to die for it – make heroes of the average soldiers like Anina Armendi.
99c55678-106b-4d68-9224-f88d6447ec9b	?Chan Whitmer	https://warstcg.org//img/1/WARS-EN01008.jpg	normal	CHARACTER	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1R8	Earther	CHARACTER • CISyn • Infiltrator • Unit	1	4	2 Earther		1	3	3	• Lose 1 energy ? Choose target vehicle in a site battle here. Damage target if its defense < [D]	"A former FedGrav technician, Whitmer is the ideal candidate to head CISyn’s sabotage operations."
e6bb49df-7782-42f9-aae8-3b12d97ca208	CISyn Retaliation	https://warstcg.org//img/1/WARS-EN01009.jpg	normal	INTERRUPT	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1R9	Earther	INTERRUPT (Lost)	2	3	2 Earther					"When you play this interrupt, if you have a kizen at a battleground location, you may pay 1 energy. If you do, this interrupt is used instead of lost. Cancel target pending drain."	CISyn controllers ensure the proper tool is selected for each task.
9e763c5f-d1bf-4fba-bfa5-c218e5169a60	Close Support Pilot	https://warstcg.org//img/1/WARS-EN01010.jpg	normal	CHARACTER	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1C10	Earther	CHARACTER • iCom • Unit	2	3	2 Earther		1	2	3	"Piloting 1 (As long as this character is aboard a ship, that ship is power +1 and tactics +1.) Each time a ship moves from here, if this character is aboard a fighter, you may move that fighter to the same location."	"Hank Cates, much like most of his fellow Earther pilots, will go into battle anywhere with the feeling his cause is righteous and just."
